fdb_molecules_id,fdb_entities_id
12366,42
31289,42
8868,42
17898,42
6584,42
8093,42
8103,42
11732,42
62835,42
1032,42
72276,42
31276,42
5281,42
5281168,42
6561,42
62465,42
9261,42
7824,42
8158,42
7342,42
20083,42
7362,42
7720,42
31260,42
10393,42
8294,42
4,42
6428929,42
520098,42
5363388,42
10883,42
14296,42
3776,42
1146,42
12777,42
180,42
342,42
226486,42
14228,42
1068,42
6202,42
16872,42
7501,42
527,42
7799,42
126,42
12232,42
13187,42
10448,42
83036,42
6590,42
8007,42
379,42
102550,42
957,42
8908,42
985,42
7997,42
31242,42
6440397,42
7749,42
8375,42
6985,42
5366074,42
8468,42
1549026,42
10976,42
179,42
445639,42
12206,42
650,42
5366038,42
7341,42
8655,42
17100,42
135,42
460,42
22201,42
8129,42
1001,42
335,42
7658,42
7302,42
12257,42
61384,42
16617,42
73750,42
3893,42
7476,42
61712,42
19310,42
5280343,42
7590,42
12613,42
7351,42
1183,42
12327,42
637758,42
7654,42
61592,42
32594,42
8082,42
11747,42
7144,42
26808,42
602,42
6054,42
31265,42
31249,42
7469,42
445154,42
6549,42
8038,42
7361,42
11552,42
18467,42
5280863,42
2969,42
612,42
10430,42
569214,42
8094,42
6560,42
16255,42
753,42
61664,42
338,42
7761,42
7710,42
1491,42
222656,42
8438,42
8892,42
8635,42
12209,42
998,42
18827,42
7795,42
7800,42
11614,42
8051,42
16220110,42
643820,42
7797,42
62445,42
638014,42
5366264,42
228583,42
24197,42
22873,42
332,42
999,42
62900,42
7945,42
5275520,42
520326,42
72,42
6544,42
31251,42
12756,42
7344,42
1550470,42
12587,42
5281654,42
7775,42
1049,42
3314,42
7937,42
7711,42
5372813,42
11508,42
644104,42
1031,42
9064,42
7894,42
12041,42
8091,42
8914,42
6998,42
7762,42
6993580,42
11527,42
10882,42
62572,42
31289,2
244,2
13144,2
8103,2
637511,2
643941,2
5280598,2
30914,2
33931,2
7362,2
638011,2
31260,2
10393,2
5363388,2
247,2
7288,2
878,2
11509,2
6590,2
379,2
985,2
4788,2
1110,2
8063,2
7858,2
5284503,2
7895,2
61020,2
454,2
7284,2
5315892,2
441484,2
8130,2
19602,2
6072,2
89594,2
85730,2
8452,2
11552,2
5280863,2
2969,2
10430,2
784,2
6986,2
6560,2
8768,2
338,2
8892,2
7847,2
107,2
998,2
5281708,2
323,2
441005,2
5367719,2
72,2
14286,2
12097,2
7937,2
798,2
439341,2
5280511,2
8868,2
6584,2
5318042,2
240,2
5280443,2
1032,2
11005,2
2345,2
439263,2
6050,2
6561,2
638278,2
9261,2
61503,2
26447,2
643779,2
180,2
7150,2
6184,2
10797,2
11128,2
6202,2
527,2
445070,2
126,2
12232,2
10448,2
702,2
1549026,2
107971,2
650,2
439533,2
5280445,2
768,2
8723,2
637775,2
8857,2
6251,2
853433,2
3893,2
1183,2
7654,2
1130,2
1889,2
6054,2
439246,2
79803,2
8094,2
284,2
5284639,2
444539,2
9862,2
15394,2
402,2
802,2
18635,2
637542,2
999,2
5365811,2
637566,2
12756,2
31268,2
12587,2
49,2
6569,2
644104,2
1031,2
513197,9
24115,9
31289,9
8314,9
17525,9
18698,9
27457,9
88290,9
5283335,9
5362583,9
6584,9
5318042,9
5367531,9
8093,9
62835,9
5280443,9
996,9
1032,9
11005,9
72276,9
146586,9
522676,9
643941,9
31276,9
8174,9
643731,9
5281,9
5281168,9
6561,9
62465,9
9261,9
7824,9
8158,9
7342,9
20083,9
72277,9
8163,9
5352905,9
10393,9
19707,9
5054,9
5321950,9
61743,9
14296,9
75515,9
65285,9
61030,9
7707,9
61386,9
1146,9
65084,9
10558,9
61048,9
342,9
8025,9
878,9
11509,9
14228,9
15406,9
229888,9
7921,9
6202,9
9256,9
7915,9
527,9
7799,9
445070,9
126,9
16872,9
26334,9
12232,9
13187,9
639665,9
10448,9
31253,9
6590,9
8007,9
379,9
8027,9
8194,9
5284507,9
9017,9
957,9
31225,9
520108,9
8908,9
985,9
7997,9
31242,9
5282708,9
7749,9
10886,9
519786,9
5366074,9
8468,9
1549026,9
8063,9
10976,9
8918,9
10957,9
964,9
445639,9
7222,9
650,9
5283349,9
8432,9
5280445,9
880,9
8655,9
17100,9
135,9
460,9
8842,9
7742,9
22201,9
5282726,9
14514,9
8129,9
1001,9
637775,9
7658,9
14079,9
7302,9
8193,9
7895,9
7976,9
679,9
9609,9
1060,9
7772,9
85519,9
61384,9
643139,9
853433,9
16617,9
73750,9
3893,9
454,9
8159,9
61712,9
19310,9
7284,9
31245,9
5280343,9
12613,9
31283,9
1183,9
58,9
7654,9
1130,9
26331,9
7909,9
61592,9
5319754,9
442428,9
5463238,9
12020,9
7193,9
11747,9
62453,9
22386,9
