	pubchem_id	SuperSweetDB_ID	BitterDB_ID	FoodDB_ID	FlavorNet_ID	FlavorDB_ID	Natural	Unknown_Natural	Synthetic
0	101016723	26882				0	0	0	1
1	440330	9487				0	0	0	0
2	22994808	8141				0	0	0	0
3	51670302	29197				0	0	0	1
4	22625306	7639				0	0	0	0
5	44259617	29031				0	0	0	1
6	1549778			FDB021664	1	1	1	0	0
7	87248552	24712				0	0	0	1
8	89869873	23990				0	0	0	1
9	5281516			FDB014895	1	1	1	0	0
10	11968348	26280				0	0	0	1
11	22803666	32054				0	0	0	1
12	11970252	94				0	1	1	0
13	12304822	3852				0	0	0	0
14	9859136	10747				0	0	0	0
15	22828754	7933				0	0	0	0
16	10572420	3005				0	0	0	0
17	93485153	33562				0	0	0	1
18	51402828	29173				0	0	0	1
19	10313255	2876				0	0	0	0
20	16682922	4524				0	0	0	0
21	19776208	6047				0	0	0	0
22	16401316	4492				0	0	0	0
23	21631268	32013				0	0	0	1
24	54296183	24818				0	0	0	1
25	92022283	33303				0	0	0	1
26	22569128	7618				0	0	0	0
27	67706638	20909				0	0	0	1
28	22650081	7641				0	0	0	0
29	10975			FDB014951		0	1	0	0
30	91516452	21359				0	0	0	1
31	98172401	29791				0	0	0	1
32	90218086	33173				0	0	0	1
33	71749478	29397				0	0	0	1
34	18448985	27670				0	0	0	1
35	93483189	23374				0	0	0	1
36	7067329	27981				0	0	0	1
37	97301495	29719				0	0	0	1
38	5359430	27913				0	0	0	1
39	91852315	25058				0	0	0	1
40	44373026	9663				0	0	0	0
41	25233835	32187				0	0	0	1
42	18239002	4917				0	0	0	0
43	90005687	22340				0	0	0	1
44	69052439	21024				0	0	0	1
45	89484634	23279				0	0	0	1
46	9832956	10722				0	0	0	0
47	5378562	27915				0	0	0	1
48	4127941	9290				0	0	0	0
49	18232844	4820				0	0	0	0
50	101630679	27006				0	0	0	1
51	71744466	32858				0	0	0	1
52	20233467	6596				0	0	0	0
53	20535698	6671				0	0	0	0
54	42608007	27684				0	0	0	1
55	90473145	33197				0	0	0	1
56	44336256	25341				0	0	0	1
57	18302	30571				0	0	0	1
58	452866	25864				0	0	0	1
59	14259439	4127				0	0	0	0
60	67634857	32684				0	0	0	1
61	71627239	23950				0	0	0	1
62	98116797	29780				0	0	0	1
63	20005674	6350				0	0	0	0
64	68030084	20942				0	0	0	1
65	90477407	33205				0	0	0	1
66	25632541	32203				0	0	0	1
67	10372538	28054				0	0	0	1
68	10748			FDB000963	1	0	1	0	0
69	20467050	6639				0	0	0	0
70	73943104	22723				0	0	0	1
71	92323710	24353				0	0	0	1
72	23574387	8315				0	0	0	0
73	6992262	30727				0	0	0	1
74	59899379	26694				0	0	0	1
75	5054			FDB008738		1	1	0	0
76	18008843	4677				0	0	0	0
77	26202359	8803				0	0	0	0
78	59853380	32622				0	0	0	1
79	54374854	20047				0	0	0	1
80	3253888	27855				0	0	0	1
81	22105033	7459				0	0	0	0
82	93481165	33558				0	0	0	1
83	9841289	10735				0	0	0	0
84	67327939	23797				0	0	0	1
85	42637554	26555				0	0	0	1
86	72193667	29408				0	0	0	1
87	44258482	28864				0	0	0	1
88	25240618	8706				0	0	0	0
89	64689	158				0	1	1	0
90	91849129	24100				0	0	0	1
91	14281968	23523				0	0	0	1
92	15268					1	1	0	0
93	89327884	24779				0	0	0	1
94	9855659	195				0	0	0	1
95	92256236	33466				0	0	0	1
96	11774580	3699				0	0	0	0
97	5362620			FDB020878		0	0	0	0
98	69293210	22273				0	0	0	1
99	101892830	30160				0	0	0	1
100	439451	9450				0	0	0	0
101	87178436	25032				0	0	0	1
102	101272709	25269				0	0	0	1
103	46783847	29104				0	0	0	1
104	99733559	22369				0	0	0	1
105	98192028	29794				0	0	0	1
106	7566558	180				0	1	1	0
107	67063097	23787				0	0	0	1
108	23050389	8154				0	0	0	0
