entity_id,category,category_readable,entity_alias,entity_alias_basket,entity_alias_readable,entity_alias_synonyms,entity_alias_url,natural_source_name,natural_source_url
0,animalproduct,Animal Product,egg,"egg, egg-boiled, egg-cooked, egg-scrambled",Egg,Egg,https://en.wikipedia.org/wiki/Egg_as_food,Chicken,https://en.wikipedia.org/wiki/Chicken
1,bakery,Bakery,bakery,bakery-products,Bakery Products,Bakery Products,https://en.wikipedia.org/wiki/Bakery,Poacceae,https://en.wikipedia.org/wiki/Poaceae
2,bakery,Bakery,bread,"bread, bread-preferment",Bread,Bread,https://en.wikipedia.org/wiki/Bread,Poacceae,https://en.wikipedia.org/wiki/Poaceae
3,bakery,Bakery,bread-rye,bread-rye,Rye Bread,Rye Bread,https://en.wikipedia.org/wiki/Rye_bread,Rye,https://en.wikipedia.org/wiki/Rye
4,bakery,Bakery,bread-wheaten,bread-wheaten,Wheaten Bread,"Soda scones, Soda farls",https://en.wikipedia.org/wiki/Soda_bread,Wheat,https://en.wikipedia.org/wiki/Wheat
5,bakery,Bakery,bread-white,bread-white,White Bread,White Bread,https://en.wikipedia.org/wiki/White_bread,Wheat,https://en.wikipedia.org/wiki/Wheat
6,bakery,Bakery,bread-wholewheat,bread-wholewheat,Wholewheat Bread,Wholewheat Bread,https://en.wikipedia.org/wiki/Whole_wheat_bread,Wheat,https://en.wikipedia.org/wiki/Wheat
7,beverage,Beverage,wort,wort,Wort,Wort,https://en.wikipedia.org/wiki/Wort,Barley,https://en.wikipedia.org/wiki/Barley
8,beverage-alcoholic,Beverage Alcoholic,arrack,arrack,Arrack,Arak,https://en.wikipedia.org/wiki/Arrack,Grape,https://en.wikipedia.org/wiki/Vitis_vinifera
9,beverage-alcoholic,Beverage Alcoholic,beer,beer,Beer,Beer,https://en.wikipedia.org/wiki/Beer,Poacceae,https://en.wikipedia.org/wiki/Poaceae
10,beverage-alcoholic,Beverage Alcoholic,beer,beer-bantu,Bantu Beer,"Millet Beer, Malwa, Kaffir Beer, Pombe, Opaque Beer",https://en.wikipedia.org/wiki/Millet_beer,Eragrostideae,https://en.wikipedia.org/wiki/Eragrostideae
11,beverage-alcoholic,Beverage Alcoholic,brandy,brandy,Brandy,"Cognac, Armagnac, Pisco, Stravencchio,  Kanyak, Konyak ",https://en.wikipedia.org/wiki/Brandy,Vitis Vinifera,https://en.wikipedia.org/wiki/Vitis_vinifera
12,beverage-alcoholic,Beverage Alcoholic,brandy-anise,"brandy, brandy-anise",Anise Brandy,Brandy,https://en.wikipedia.org/wiki/Brandy,Anise,https://en.wikipedia.org/wiki/Anise
13,beverage-alcoholic,Beverage Alcoholic,brandy-apple,"brandy, brandy-apple",Apple Brandy,Anise Brandy,https://en.wikipedia.org/wiki/Fruit_brandy,Apple,https://en.wikipedia.org/wiki/Apple
14,beverage-alcoholic,Beverage Alcoholic,brandy-armagnac,"brandy, brandy-armagnac",Armagnac Brandy,Armanac Brandy,https://en.wikipedia.org/wiki/Armagnac_(brandy),Vitis Vinifera,https://en.wikipedia.org/wiki/Vitis_vinifera
15,beverage-alcoholic,Beverage Alcoholic,brandy-blackberry,"brandy, brandy-blackberry",Blackberry Brandy,Brackberry Brandy,https://en.wikipedia.org/wiki/Fruit_brandy,Blackberry ,https://en.wikipedia.org/wiki/Blackberry
16,beverage-alcoholic,Beverage Alcoholic,brandy-cherry,"brandy, brandy-cherry",Cherry Brandy,Cherry Brandy,https://en.wikipedia.org/wiki/Fruit_brandy,Prunus,https://en.wikipedia.org/wiki/Prunus
17,beverage-alcoholic,Beverage Alcoholic,brandy-cognac,"brandy, brandy-cognac",Cognac Brandy,Cognac Brandy,https://en.wikipedia.org/wiki/Cognac,Vitis,https://en.wikipedia.org/wiki/Vitis
18,beverage-alcoholic,Beverage Alcoholic,brandy-papaya,"brandy, brandy-papaya",Papaya Brandy,Papaya Brandy,https://en.wikipedia.org/wiki/Fruit_brandy,Papaya,https://en.wikipedia.org/wiki/Papaya
19,beverage-alcoholic,Beverage Alcoholic,brandy-pear,"brandy, brandy-pear",Pear Brandy,"Pear Brandy, Palinka, Poire Williams, Rakia, Tuica",https://en.wikipedia.org/wiki/Fruit_brandy,Pear,https://en.wikipedia.org/wiki/Pear
20,beverage-alcoholic,Beverage Alcoholic,brandy-plum,"brandy, brandy-plum",Plum Brandy,"Plum Brandy, Slivovitz, Tuica, Ljivovica, Asliwowica, Slivovitza, Schlivowitz, Slivovitsa",https://en.wikipedia.org/wiki/Slivovitz,Damson,https://en.wikipedia.org/wiki/Damson
21,beverage-alcoholic,Beverage Alcoholic,brandy-raspberry,"brandy, brandy-raspberry",Raspberry Brandy,Raspberry Brandy,https://en.wikipedia.org/wiki/Cognac,Rubus Idaeus,https://en.wikipedia.org/wiki/Rubus_idaeus
22,beverage-alcoholic,Beverage Alcoholic,brandy-weinbrand,"brandy, brandy-weinbrand",Weinbrand Brandy,Weinbrand Brandy,https://en.wikipedia.org/wiki/Brandy,Vitis Vinifera,https://en.wikipedia.org/wiki/Vitis_vinifera
23,beverage-alcoholic,Beverage Alcoholic,gin,gin,Gin,Gin,https://en.wikipedia.org/wiki/Gin,Juniperus Communis,https://en.wikipedia.org/wiki/Juniperus_communis
24,beverage-alcoholic,Beverage Alcoholic,rum,"rum, rum-blackberry, rum-weinbrand",Rum,Rum,https://en.wikipedia.org/wiki/Rum,Saccharum,https://en.wikipedia.org/wiki/Saccharum
25,beverage-alcoholic,Beverage Alcoholic,whisky,whisky,Whisky,Whisky,https://en.wikipedia.org/wiki/Whisky,Maize,https://en.wikipedia.org/wiki/Maize
26,beverage-alcoholic,Beverage Alcoholic,whisky-bourbon,"whisky, whisky-bourbon",Bourbon Whisky,Bourbon Whisky,https://en.wikipedia.org/wiki/Bourbon_whiskey,Corn,https://en.wikipedia.org/wiki/Maize
27,beverage-alcoholic,Beverage Alcoholic,whisky-canadian,"whisky, whisky-canadian",Canadian Whisky,Canadian Whisky,https://en.wikipedia.org/wiki/Canadian_whisky,Corn,https://en.wikipedia.org/wiki/Maize
28,beverage-alcoholic,Beverage Alcoholic,whisky-finnish,"whisky, whisky-finnish",Finnish Whisky,Finnish Whisky,https://en.wikipedia.org/wiki/Finnish_whisky,Maize,https://en.wikipedia.org/wiki/Maize
29,beverage-alcoholic,Beverage Alcoholic,whisky-japanese,"whisky, whisky-japanese",Japanese Whisky,Japanese Whisky,https://en.wikipedia.org/wiki/Japanese_whisky,Maize,https://en.wikipedia.org/wiki/Maize
30,beverage-alcoholic,Beverage Alcoholic,whisky-malt,"whisky, whisky-malt",Malt Whisky,Malt Whisky,https://en.wikipedia.org/wiki/Malt_whisky,Maize,https://en.wikipedia.org/wiki/Maize
31,beverage-alcoholic,Beverage Alcoholic,whisky-scotch,"whisky, whisky-scotch",Scotch Whisky,Scotch,https://en.wikipedia.org/wiki/Scotch_whisky,Maize,https://en.wikipedia.org/wiki/Maize
32,beverage-alcoholic,Beverage Alcoholic,wine,wine,Wine,Wine,https://en.wikipedia.org/wiki/Wine,Grape ,https://en.wikipedia.org/wiki/Vitis_vinifera
33,beverage-alcoholic,Beverage Alcoholic,wine-bilberry,"wine, wine-bilberry",Bilberry Wine,Bilberry Wine,https://en.wikipedia.org/wiki/Vaccinium_myrtillus,Vaccinium Myrtillus,https://en.wikipedia.org/wiki/Vaccinium_myrtillus
34,beverage-alcoholic,Beverage Alcoholic,wine-botrytized,"wine, wine-botrytized",Botrytized Wine,Botrytized Wine,https://en.wikipedia.org/wiki/Noble_rot,Grape ,https://en.wikipedia.org/wiki/Vitis_vinifera
35,beverage-alcoholic,Beverage Alcoholic,wine-champagne,"wine, wine-champagne",Champagne,Champagne,https://en.wikipedia.org/wiki/Champagne,Grape ,https://en.wikipedia.org/wiki/Vitis_vinifera
36,beverage-alcoholic,Beverage Alcoholic,wine-cider,wine-cider,Cider,Cider,https://en.wikipedia.org/wiki/Cider,Apple,https://en.wikipedia.org/wiki/Apple
